Uniprot accession	Primary gene name	Protein names	Gene names	PepCount	log2 fold change naive/primed	q-value	NAIVE_R1	NAIVE_R2	NAIVE_R3	PRIMED_A1	PRIMED_A2	PRIMED_E1	PRIMED_E2	Biological process	Molecular function	Cellular component
O00574	CXCR6	C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	CXCR6 BONZO STRL33 TYMSTR	2	5.718	0.000000	3789772.6	9678178.9	6112192.8	181.8	181.8	123899.5	107457.7	G protein-coupled receptor signaling pathway [GO:0007186]; calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; immune response [GO:0006955]; inflammatory response [GO:0006954]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; viral genome replication [GO:0019079]	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; C-X-C chemokine binding [GO:0019958]; C-X-C chemokine receptor activity [GO:0016494]; G protein-coupled receptor activity [GO:0004930]; chemokine binding [GO:0019956]; coreceptor activity [GO:0015026]	external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]
P19397	CD53	Leukocyte surface antigen CD53 (Cell surface glycoprotein CD53) (Tetraspanin-25) (Tspan-25) (CD antigen CD53)	CD53 MOX44 TSPAN25	3	5.408	0.000000	356198963.2	308134870.5	279461494.7	5836035.8	22699342.6	4774174.3	4667752.5	neutrophil degranulation [GO:0043312]; positive regulation of myoblast fusion [GO:1901741]; signal transduction [GO:0007165]	0	cell surface [GO:0009986]; cell-cell junction [GO:0005911]; extracellular exosome [GO:0070062]; immunological synapse [GO:0001772]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]
P09564	CD7	T-cell antigen CD7 (GP40) (T-cell leukemia antigen) (T-cell surface antigen Leu-9) (TP41) (CD antigen CD7)	CD7	2	5.369	0.000000	935442660.9	877867875.1	786987147.0	20106234.4	1368.7	20665590.0	22015708.5	T cell activation [GO:0042110]; adaptive immune response [GO:0002250]; immune response [GO:0006955]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	signaling receptor activity [GO:0038023]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P05187	ALPP	"Alkaline phosphatase, placental type (EC 3.1.3.1) (Alkaline phosphatase Regan isozyme) (Placental alkaline phosphatase 1) (PLAP-1)"	ALPP PLAP	13	5.225	0.000000	524652306.1	533610969.1	458140785.1	11664687.7	19883411.7	12405863.5	11489112.8	0	alkaline phosphatase activity [GO:0004035]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q07075	ENPEP	Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Differentiation antigen gp160) (CD antigen CD249)	ENPEP	40	5.153	0.000000	609283485.7	1160970361.1	875116691.9	22435673.2	41339022.4	25362658.9	13975775.5	angiogenesis [GO:0001525]; angiotensin maturation [GO:0002003]; cell migration [GO:0016477]; cell population proliferation [GO:0008283]; cell-cell signaling [GO:0007267]; glomerulus development [GO:0032835]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]	aminopeptidase activity [GO:0004177]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; brush border [GO:0005903]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]
P22732	SLC2A5	"Solute carrier family 2, facilitated glucose transporter member 5 (Fructose transporter) (Glucose transporter type 5, small intestine) (GLUT-5)"	SLC2A5 GLUT5	9	5.081	0.000000	220887540.8	229737147.5	205187643.9	8439014.6	7955048.4	6362864.5	4055690.1	carbohydrate metabolic process [GO:0005975]; cellular response to fructose stimulus [GO:0071332]; fructose import across plasma membrane [GO:1990539]; fructose transmembrane transport [GO:0015755]; glucose transmembrane transport [GO:1904659]; intestinal hexose absorption [GO:0106001]; neutrophil degranulation [GO:0043312]; regulation of systemic arterial blood pressure mediated by a chemical signal [GO:0003044]; response to fructose [GO:0009750]	fructose binding [GO:0070061]; fructose transmembrane transporter activity [GO:0005353]; glucose transmembrane transporter activity [GO:0005355]	apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; specific granule membrane [GO:0035579]
P15509	CSF2RA	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116)	CSF2RA CSF2R CSF2RY	14	5.033	0.000000	553697109.1	474305186.3	382685796.6	11411911.0	21206741.4	14268292.9	11767260.8	MAPK cascade [GO:0000165]; cellular protein metabolic process [GO:0044267]; cytokine-mediated signaling pathway [GO:0019221]	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; signaling receptor activity [GO:0038023]	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
P15328	FOLR1	"Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)"	FOLR1 FOLR	2	4.848	0.000000	1216135551.3	1225831941.1	990777169.4	51511619.0	160.6	36926817.1	32517540.2	COPII vesicle coating [GO:0048208]; anterior neural tube closure [GO:0061713]; axon regeneration [GO:0031103]; cardiac neural crest cell migration involved in outflow tract morphogenesis [GO:0003253]; cellular response to folic acid [GO:0071231]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; folate import across plasma membrane [GO:1904447]; folic acid metabolic process [GO:0046655]; folic acid transport [GO:0015884]; heart looping [GO:0001947]; neural crest cell migration involved in heart formation [GO:0003147]; pharyngeal arch artery morphogenesis [GO:0061626]; receptor-mediated endocytosis [GO:0006898]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]	drug binding [GO:0008144]; folic acid binding [GO:0005542]; folic acid receptor activity [GO:0061714]; methotrexate binding [GO:0051870]; signaling receptor activity [GO:0038023]	ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; anchored component of external side of plasma membrane [GO:0031362]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; clathrin-coated vesicle [GO:0030136]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]
P13726	F3	Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142)	F3	8	4.836	0.000000	1591257395.0	1595745913.0	1373831160.9	44375672.1	109525647.5	41850569.2	39043920.7	"activation of blood coagulation via clotting cascade [GO:0002543]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of plasma proteins involved in acute inflammatory response [GO:0002541]; blood coagulation [GO:0007596]; blood coagulation, extrinsic pathway [GO:0007598]; cytokine-mediated signaling pathway [GO:0019221]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell migration [GO:0030335]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of platelet-derived growth factor receptor signaling pathway [GO:0010641]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of protein kinase B signaling [GO:0051897]; protein processing [GO:0016485]"	cytokine receptor activity [GO:0004896]; phospholipid binding [GO:0005543]; protease binding [GO:0002020]	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; intrinsic component of external side of plasma membrane [GO:0031233]; plasma membrane [GO:0005886]; serine-type peptidase complex [GO:1905286]
Q9BYF1	ACE2	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	4	4.830	0.000000	18862319.7	14882714.5	10236754.6	291647.3	707151.3	454632.1	666646.4	angiotensin maturation [GO:0002003]; angiotensin-mediated drinking behavior [GO:0003051]; positive regulation of amino acid transport [GO:0051957]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of gap junction assembly [GO:1903598]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; receptor biosynthetic process [GO:0032800]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of blood vessel diameter [GO:0097746]; regulation of cardiac conduction [GO:1903779]; regulation of cell population proliferation [GO:0042127]; regulation of cytokine production [GO:0001817]; regulation of inflammatory response [GO:0050727]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; regulation of vasoconstriction [GO:0019229]; tryptophan transport [GO:0015827]; viral entry into host cell [GO:0046718]	carboxypeptidase activity [GO:0004180]; endopeptidase activity [GO:0004175]; exopeptidase activity [GO:0008238]; metallocarboxypeptidase activity [GO:0004181]; virus receptor activity [GO:0001618]; zinc ion binding [GO:0008270]	brush border membrane [GO:0031526]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
